1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,6
2,2
2,1
2,5
2,4
2,9
2,3
3,5
3,3
3,8
3,10
3,6
3,1
4,3
4,6
4,10
4,8
4,4
4,2
4,9
4,1
4,5
5,9
6,7
6,10
6,9
6,4
6,5
6,1
7,6
7,1
7,10
7,7
7,5
8,10
8,9
8,3
8,8
8,5
8,1
8,7
8,6
9,9
9,7
9,6
9,2
9,3
9,5
10,10
10,8
10,1
10,6
10,4
10,9
10,3
10,5
11,8
11,9
11,1
11,4
11,3
11,7
11,10
11,5
12,9
12,1
12,3
12,6
12,10
13,3
13,8
13,5
14,7
14,5
14,9
14,10
14,3
14,2
14,1
14,4
15,5
15,2
15,7
15,4
15,9
15,3
15,8
15,10
16,6
17,3
17,8
17,2
17,7
17,4
17,6
17,5
18,6
18,8
18,1
18,9
18,4
18,7
18,2
18,5
18,10
19,3
19,7
19,1
19,2
20,3
20,2
20,4
